ADIDU,no_corr,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9
24880072,0,0,5,68,78,64,56,62,71,55,19
24880073,0,0,2,35,45,35,36,30,31,12,7
24880074,0,0,5,51,64,41,38,49,27,28,9
24880075,0,0,4,39,51,34,25,35,33,15,12
24880076,0,0,5,38,37,33,38,29,22,14,11
24880077,0,0,2,44,51,30,46,34,35,15,15
24880078,0,0,1,38,45,27,24,26,15,26,10
24880079,0,0,1,54,47,26,39,26,24,19,3
24880080,0,0,6,47,44,29,28,28,38,9,6
24880081,0,0,4,56,59,49,50,55,46,36,18
24880082,0,0,9,82,94,74,57,72,69,50,18
24880083,0,0,1,47,45,27,44,40,34,27,10
24880084,0,2,5,55,104,57,82,74,89,73,31
24880085,0,1,4,45,71,54,49,52,44,55,21
24880086,1,1,20,82,125,83,83,84,108,96,49
24880087,0,0,3,39,48,35,27,36,37,39,20
24880088,0,0,3,42,50,36,29,38,40,42,22
24880089,0,3,4,91,84,67,67,77,94,69,36
24880090,0,2,3,63,58,46,46,54,65,49,25
24880091,0,0,3,46,41,36,37,43,53,31,22
24880092,0,0,4,62,56,50,51,58,73,43,29
24880093,0,1,4,62,57,60,48,55,64,54,27
24880094,0,1,2,70,61,52,51,60,55,47,21
24880095,0,0,2,47,46,58,38,55,56,47,16
24880097,0,0,3,71,56,62,58,49,72,62,27
24880098,0,0,-1,20,18,16,19,16,21,16,10
24880099,0,0,0,21,28,17,21,25,31,21,10
24890065,0,0,2,38,43,31,31,39,41,41,16
24890066,0,0,2,33,37,27,27,34,36,36,14
24890067,0,0,2,51,57,42,41,52,54,54,21
24890068,0,0,2,38,43,32,31,40,41,41,16
24890069,0,0,3,66,74,55,53,68,71,71,27
24890070,0,0,1,24,25,19,19,25,24,23,10
24890072,0,0,0,6,4,18,21,61,48,30,10
24890073,0,0,0,3,2,8,9,26,20,12,4
24890079,0,0,5,43,46,40,34,47,34,29,7
24890080,0,0,0,50,41,27,33,36,34,18,4
24890081,0,0,2,38,45,48,48,41,35,26,10
24890082,0,1,0,34,51,39,38,40,35,21,7
24890083,0,0,2,50,44,31,34,27,30,27,8
24890084,0,0,1,28,34,37,32,38,17,17,11
24890085,0,0,1,54,57,39,72,42,45,26,9
24890086,0,0,1,36,38,30,21,27,23,17,11
24890087,0,0,2,32,55,40,47,38,39,22,11
24890088,0,0,1,31,41,34,25,26,25,19,11
24890089,0,0,2,26,40,27,29,38,30,20,4
24890090,0,0,4,41,44,34,40,44,45,31,11
24890091,0,0,2,45,54,33,25,46,34,33,7
24890092,0,0,2,39,53,35,45,49,44,36,13
24890093,0,0,3,41,47,44,55,58,64,26,16
24890094,0,0,4,34,57,28,37,47,39,26,11
24890095,0,0,2,23,34,35,42,51,28,19,16
24890096,0,0,1,55,76,44,65,37,42,18,9
24890097,0,0,2,43,40,22,35,39,35,29,14
24890099,0,0,6,71,124,74,81,65,62,37,16
24890100,0,0,5,35,55,44,51,61,42,39,17
24890101,0,0,2,71,64,54,56,69,40,34,13
24890102,0,0,5,57,72,55,47,56,53,40,13
24890103,0,0,1,53,76,52,60,83,61,49,19
24890104,0,0,2,68,88,72,82,72,56,50,23
24890105,0,1,1,58,77,47,42,85,58,61,19
24890109,0,0,2,35,36,38,32,34,31,18,14
24890110,0,0,2,53,44,33,35,36,40,25,10
24890118,0,0,6,68,95,77,83,99,97,78,32
24890119,0,0,4,49,70,56,61,72,70,57,24
24890121,0,0,2,29,40,31,34,40,39,32,13
24890122,0,1,1,57,68,55,56,59,50,43,14
24890123,0,1,4,58,78,60,68,99,89,88,32
24890124,0,1,3,48,65,50,57,82,74,73,26
24890125,0,1,4,56,76,58,67,96,86,86,31
24890126,0,0,1,16,15,13,16,19,17,11,6
24890127,0,0,2,39,37,33,40,47,41,28,14
24890128,0,0,0,2,2,2,2,3,3,2,1
24890129,0,0,3,57,54,48,58,68,59,40,21
24890130,0,0,3,45,43,38,47,55,47,32,17
24890131,0,0,6,116,110,97,119,139,120,82,43
24890132,0,1,2,32,31,27,33,39,33,24,11
24890133,0,1,3,47,60,52,46,61,61,63,23
24890134,0,2,5,72,90,79,70,92,93,95,36
24890135,0,0,1,7,9,8,7,10,10,10,4
24890136,0,0,1,17,21,19,17,20,21,22,8
24890139,0,0,5,31,39,53,64,45,34,41,17
24890140,0,0,1,63,89,35,58,63,60,39,20
24890141,1,0,1,63,77,65,83,87,63,50,13
24890142,0,0,0,67,69,42,68,77,53,39,12
24890147,0,0,3,74,83,61,60,76,79,79,30
24890148,0,0,2,42,47,35,34,44,45,45,17
24890149,0,0,2,37,42,31,30,39,40,40,15
24890153,0,0,4,71,101,81,90,122,106,94,40
24890154,0,-1,3,29,40,28,38,34,50,52,18
24890155,0,0,2,43,48,48,46,65,79,64,24
24890156,0,0,4,47,59,50,57,70,68,59,26
24890157,0,0,3,31,38,33,37,45,44,38,17
24890158,0,0,5,49,56,55,64,49,57,51,19
24890159,0,0,4,71,94,64,83,92,74,70,34
24890160,0,1,6,101,133,108,112,132,125,99,39
24890161,0,0,7,67,87,77,71,86,71,66,24
24890162,0,0,4,62,72,51,67,75,80,60,17
24890163,0,1,3,54,55,46,61,61,34,34,12
24890164,0,1,2,44,70,45,51,64,58,37,14
24890165,0,0,3,54,62,40,68,72,62,43,14
24890166,0,0,8,94,118,102,116,142,140,124,52
24890168,0,0,3,55,68,64,67,90,98,87,32
24890169,0,1,4,49,65,58,65,84,86,81,30
24890170,0,0,0,5,4,5,5,16,20,19,1
24900037,0,0,1,6,16,53,69,94,153,118,42
24900040,0,0,3,44,48,43,40,58,57,51,33
24900041,0,0,0,6,10,28,30,39,56,44,18
24900042,0,0,0,3,4,12,12,16,22,17,8
24900043,0,0,0,37,45,47,43,49,40,51,25
24900044,0,0,3,35,38,49,44,34,36,33,5
24900045,0,0,1,32,27,30,42,38,51,32,15
24900046,0,0,4,41,55,47,42,57,64,49,26
24900047,0,0,2,51,59,56,36,51,43,46,15
24900048,0,0,1,48,49,45,44,37,37,35,22
24900049,0,0,2,43,59,65,54,46,42,42,17
24900050,0,0,2,44,41,60,45,51,48,37,15
24900051,0,0,4,59,54,63,59,83,75,75,32
